time_period,time_identifier,geographic_level,country_code,country_name,category,category_type,number,rate,percent
2024,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,756150,630.2,z
2024,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,702840,585.8,z
2024,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,394660,328.9,z
2024,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,367550,306.3,z
2024,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,356690,297.3,z
2024,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,334960,279.2,z
2024,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,399460,332.9,z
2024,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,15810,13.2,4
2024,Reporting year,National,E92000001,England,Referrals,Referrals in the year,621880,518.3,z
2024,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,139080,z,22.4
2024,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,38920,z,6.3
2024,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,188300,z,30.3
2024,Reporting year,National,E92000001,England,Referrals,Children referred in the year,551060,459.3,z
2024,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,115550,z,21
2024,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,643170,536,z
2023,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,766050,644.5,z
2023,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,712650,599.6,z
2023,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,403630,339.6,z
2023,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,376550,316.8,z
2023,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,362960,305.4,z
2023,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,341610,287.4,z
2023,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,403090,339.1,z
2023,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,15830,13.3,3.9
2023,Reporting year,National,E92000001,England,Referrals,Referrals in the year,640430,538.8,z
2023,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,143770,z,22.4
2023,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,45340,z,7.1
2023,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,191460,z,29.9
2023,Reporting year,National,E92000001,England,Referrals,Children referred in the year,566960,477,z
2023,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,119310,z,21
2023,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,655540,551.5,z
2022,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,764150,649.6,z
2022,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,710720,604.2,z
2022,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,413320,351.4,z
2022,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,385950,328.1,z
2022,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,359830,305.9,z
2022,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,338780,288,z
2022,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,404310,343.7,z
2022,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,18160,15.4,4.5
2022,Reporting year,National,E92000001,England,Referrals,Referrals in the year,650270,552.8,z
2022,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,139500,z,21.5
2022,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,49430,z,7.6
2022,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,187390,z,28.8
2022,Reporting year,National,E92000001,England,Referrals,Children referred in the year,576420,490,z
2022,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,116180,z,20.2
2022,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,645070,548.4,z
2021,Reporting year,National,E92000001,England,Children in Need,Episodes of need at any point in the year,728440,618,z
2021,Reporting year,National,E92000001,England,Children in Need,Children in Need at any point during the year,679340,576.3,z
2021,Reporting year,National,E92000001,England,Children in Need,Episodes of need starting in the year,380020,322.4,z
2021,Reporting year,National,E92000001,England,Children in Need,Children starting an episode of need in the year,355260,301.4,z
2021,Reporting year,National,E92000001,England,Children in Need,Episodes of need ending in the year,339950,288.4,z
2021,Reporting year,National,E92000001,England,Children in Need,Children ending an episode of need in the year,321170,272.5,z
2021,Reporting year,National,E92000001,England,Children in Need,Children in Need at 31 March,388490,329.6,z
2021,Reporting year,National,E92000001,England,Children in Need,Children awaiting assessment or assessment not required at 31 March,14170,12,3.6
2021,Reporting year,National,E92000001,England,Referrals,Referrals in the year,597760,507.1,z
2021,Reporting year,National,E92000001,England,Referrals,Re-referrals within 12 months of a previous referral,135850,z,22.7
2021,Reporting year,National,E92000001,England,Referrals,Referral - No Further Action,35620,z,6
2021,Reporting year,National,E92000001,England,Referrals,Referral - Assessed as not in Need,182070,z,30.5
2021,Reporting year,National,E92000001,England,Referrals,Children referred in the year,529490,449.2,z
2021,Reporting year,National,E92000001,England,Referrals,Children re-referred within 12 months of a previous referral,112740,z,21.3
2021,Reporting year,National,E92000001,England,Assessments,Assessments completed in the year,625960,531,z
