time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Anypoint_episodes,Anypoint_episodes_rate,Anypoint_child,Anypoint_child_rate,Started_episodes,Started_episodes_rate,Started_child,Started_child_rate,Ended_episodes,Ended_episodes_rate,Ended_child,Ended_child_rate,At31_episodes,At31_episodes_rate,Awaiting_assessment,Awaiting_assessment_rate
2024,Reporting year,National,E92000001,England,,,,,,Children in Need,756150,630.2,702840,585.8,394660,328.9,367550,306.3,356690,297.3,334960,279.2,399460,332.9,15810,13.2
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children in Need,44510,831.7,41450,774.5,22070,412.4,20700,386.8,19510,364.4,18500,345.6,25010,467.2,460,8.7
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children in Need,110970,693.9,103820,649.2,55160,344.9,51820,324,50280,314.4,47600,297.6,60690,379.5,2070,12.9
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children in Need,77060,661.5,71860,616.9,40560,348.2,38150,327.5,37350,320.6,35550,305.2,39710,340.9,980,8.4
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children in Need,55490,546.1,51340,505.2,29950,294.7,27770,273.3,27160,267.3,25580,251.7,28330,278.8,1770,17.4
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children in Need,82360,621.5,77830,587.3,39430,297.5,37460,282.6,35800,270.2,34320,258.9,46560,351.3,1690,12.8
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children in Need,56350,412.2,53150,388.8,27250,199.3,25750,188.4,23890,174.7,22740,166.4,32460,237.4,1320,9.6
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children in Need,129610,682.2,122090,642.6,67700,356.3,64160,337.7,59280,312,56660,298.2,70330,370.2,2460,12.9
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children in Need,137200,689.8,122930,618.1,79720,400.8,70900,356.5,74240,373.2,66370,333.7,62960,316.5,3740,18.8
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children in Need,62600,568.2,58360,529.6,32830,297.9,30840,279.9,29190,264.9,27650,250.9,33420,303.3,1320,12
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children in Need,49250,768.3,46340,722.8,24340,379.7,23130,360.8,21450,334.6,20500,319.7,27800,433.6,1140,17.8
