time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,At31_episodes,N1_Abuse_or_neglect,N2_Childs_disability_or_illness,N3_Parents_disability_or_illness,N4_Family_in_acute_stress,N5_Family_dysfunction,N6_Socially_unacceptable_behaviour,N7_Low_income,N8_Absent_parenting,N9_Cases_other_than_CIN,N0_Not_stated
2024,Reporting year,National,E92000001,England,,,,,,Primary need at assessment,399460,231940,32150,8270,34410,47900,7870,1070,21930,3510,10430
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Primary need at assessment,25010,14980,2050,220,2420,3850,280,40,540,50,600
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Primary need at assessment,60690,41450,3730,780,4110,6180,1030,100,2380,210,720
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary need at assessment,39710,29100,2160,450,2180,2670,510,80,1410,540,610
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary need at assessment,28330,15030,1680,1220,2130,4220,590,60,1130,750,1530
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary need at assessment,46560,27480,3130,670,4140,6050,850,60,2310,620,1260
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Primary need at assessment,32460,18950,3970,540,2570,2790,340,90,2210,180,820
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Primary need at assessment,70330,36730,8180,2220,7650,5210,2790,480,6040,520,520
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Primary need at assessment,62960,28160,5110,1350,5230,13730,1010,90,4300,260,3740
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Primary need at assessment,33420,20060,2150,830,3990,3210,480,70,1610,370,650
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Primary need at assessment,27800,13070,2730,1140,3900,2160,1460,290,2560,230,260
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Primary need at assessment,42530,23660,5450,1080,3750,3050,1330,190,3480,290,260
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary need at assessment,4109,3389,206,25,157,157,27,c,88,c,52
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary need at assessment,1110,535,59,25,100,225,c,0,36,c,107
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Primary need at assessment,1592,393,175,c,37,922,c,c,53,0,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary need at assessment,1487,1132,147,52,c,57,21,c,20,16,25
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary need at assessment,1951,1710,56,c,38,130,c,c,c,c,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Primary need at assessment,2836,1326,267,42,355,300,94,19,102,0,331
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Primary need at assessment,1712,1152,189,12,161,130,c,0,45,c,11
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Primary need at assessment,2320,330,269,13,574,1118,c,c,11,0,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary need at assessment,1633,1214,109,12,119,104,c,c,58,12,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary need at assessment,1539,969,213,13,193,107,35,c,c,0,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary need at assessment,2395,1099,165,14,598,377,22,c,53,c,61
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary need at assessment,2324,1729,190,c,79,222,36,c,63,0,0
