time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Referrals,Referrals_rate,Re_referrals,Re_referrals_percent,No_Further_Action,No_Further_Action_percent,Not_in_Need,Not_in_Need_percent,Referrals_child,Referrals_child_rate,Re_referrals_child,Re_referrals_child_percent
2024,Reporting year,National,E92000001,England,,,,,,Referrals and Re-referrals,621880,518.3,139080,22.4,38920,6.3,188300,30.3,551060,459.3,115550,21
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Referrals and Re-referrals,32050,598.8,7120,22.2,670,2.1,9300,29,28610,534.6,6090,21.3
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Referrals and Re-referrals,81950,512.4,17400,21.2,4420,5.4,22380,27.3,73050,456.7,14800,20.3
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Referrals and Re-referrals,62800,539.1,13620,21.7,3060,4.9,19170,30.5,56100,481.5,11510,20.5
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Referrals and Re-referrals,56190,552.9,14550,25.9,5020,8.9,21220,37.8,48380,476,11720,24.2
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Referrals and Re-referrals,64200,484.5,13310,20.7,1400,2.2,23380,36.4,57810,436.3,11530,19.9
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Referrals and Re-referrals,45330,331.6,9320,20.6,3490,7.7,14590,32.2,40370,295.3,7880,19.5
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Referrals and Re-referrals,105700,556.4,19890,18.8,8140,7.7,29860,28.3,95850,504.5,17030,17.8
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Referrals and Re-referrals,121230,609.5,32310,26.6,8980,7.4,32530,26.8,104090,523.4,25060,24.1
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Referrals and Re-referrals,52440,475.9,11570,22.1,3740,7.1,15870,30.3,46800,424.7,9940,21.2
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Referrals and Re-referrals,38730,604.1,7060,18.2,3180,8.2,11210,29,35330,551.1,6090,17.2
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Referrals and Re-referrals,66970,532,12830,19.2,4960,7.4,18650,27.8,60520,480.8,10940,18.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Referrals and Re-referrals,4668,468.5,792,17,0,0,949,20.3,4308,432.4,705,16.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Referrals and Re-referrals,1539,686.7,356,23.1,165,10.7,391,25.4,1379,615.3,301,21.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Referrals and Re-referrals,1630,409.7,270,16.6,31,1.9,485,29.8,1519,381.8,245,16.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Referrals and Re-referrals,2190,1072.6,546,24.9,7,0.3,252,11.5,1918,939.4,466,24.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Referrals and Re-referrals,2797,803.9,709,25.3,68,2.4,849,30.4,2483,713.7,609,24.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Referrals and Re-referrals,2992,498,700,23.4,6,0.2,523,17.5,2674,445,600,22.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Referrals and Re-referrals,2305,548.3,581,25.2,90,3.9,913,39.6,1994,474.3,481,24.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Referrals and Re-referrals,3001,510.3,602,20.1,19,0.6,1023,34.1,2714,461.5,545,20.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Referrals and Re-referrals,1556,567,232,14.9,0,0,353,22.7,1476,537.9,214,14.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Referrals and Re-referrals,2041,678.2,466,22.8,109,5.3,656,32.1,1803,599.1,387,21.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Referrals and Re-referrals,4031,914.3,1221,30.3,171,4.2,1750,43.4,3374,765.3,974,28.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Referrals and Re-referrals,3299,593,640,19.4,7,0.2,1158,35.1,2972,534.2,566,19
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Referrals and Re-referrals,2392,592.2,415,17.3,26,1.1,797,33.3,2178,539.2,372,17.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Referrals and Re-referrals,2174,758.5,420,19.3,0,0,739,34,1969,686.9,364,18.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Referrals and Re-referrals,3787,512.9,921,24.3,140,3.7,515,13.6,3392,459.4,764,22.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Referrals and Re-referrals,2534,576.4,654,25.8,343,13.5,438,17.3,2215,503.8,538,24.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Referrals and Re-referrals,2332,285.7,385,16.5,198,8.5,496,21.3,2137,261.8,334,15.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Referrals and Re-referrals,3550,500.8,755,21.3,245,6.9,1185,33.4,3230,455.7,642,19.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Referrals and Re-referrals,2375,458.7,253,10.7,215,9.1,636,26.8,2122,409.9,224,10.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Referrals and Re-referrals,1654,600.7,401,24.2,22,1.3,660,39.9,1460,530.3,344,23.6
