time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,CPP_start,CPP_subsequent,CPP_subsequent_percent
2024,Reporting year,National,E92000001,England,,,,,,Child Protection Plans which are a second or subsequent plan,62110,15330,24.7
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Child Protection Plans which are a second or subsequent plan,4860,1250,25.7
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Child Protection Plans which are a second or subsequent plan,9240,2280,24.7
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Child Protection Plans which are a second or subsequent plan,7390,1780,24
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Child Protection Plans which are a second or subsequent plan,4890,1280,26.1
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Child Protection Plans which are a second or subsequent plan,7490,1920,25.7
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Child Protection Plans which are a second or subsequent plan,4360,960,22.1
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Child Protection Plans which are a second or subsequent plan,9170,1940,21.2
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Child Protection Plans which are a second or subsequent plan,9050,2290,25.3
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Child Protection Plans which are a second or subsequent plan,5670,1630,28.7
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Child Protection Plans which are a second or subsequent plan,3290,750,22.9
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Child Protection Plans which are a second or subsequent plan,5890,1190,20.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Child Protection Plans which are a second or subsequent plan,790,167,21.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Child Protection Plans which are a second or subsequent plan,196,35,17.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Child Protection Plans which are a second or subsequent plan,330,68,20.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Child Protection Plans which are a second or subsequent plan,230,48,20.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Child Protection Plans which are a second or subsequent plan,363,101,27.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Child Protection Plans which are a second or subsequent plan,443,129,29.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Child Protection Plans which are a second or subsequent plan,267,71,26.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Child Protection Plans which are a second or subsequent plan,506,147,29.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Child Protection Plans which are a second or subsequent plan,374,100,26.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Child Protection Plans which are a second or subsequent plan,313,85,27.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Child Protection Plans which are a second or subsequent plan,350,86,24.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Child Protection Plans which are a second or subsequent plan,695,210,30.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Child Protection Plans which are a second or subsequent plan,332,77,23.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Child Protection Plans which are a second or subsequent plan,271,84,31
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Child Protection Plans which are a second or subsequent plan,494,146,29.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Child Protection Plans which are a second or subsequent plan,264,48,18.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Child Protection Plans which are a second or subsequent plan,324,78,24.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Child Protection Plans which are a second or subsequent plan,337,65,19.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Child Protection Plans which are a second or subsequent plan,400,112,28
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Child Protection Plans which are a second or subsequent plan,173,40,23.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Child Protection Plans which are a second or subsequent plan,262,64,24.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Child Protection Plans which are a second or subsequent plan,768,200,26
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Child Protection Plans which are a second or subsequent plan,715,183,25.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Child Protection Plans which are a second or subsequent plan,663,136,20.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Child Protection Plans which are a second or subsequent plan,502,111,22.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Child Protection Plans which are a second or subsequent plan,402,129,32.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Child Protection Plans which are a second or subsequent plan,453,92,20.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Child Protection Plans which are a second or subsequent plan,325,71,21.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Child Protection Plans which are a second or subsequent plan,223,59,26.5
