time_period,time_identifier,geographic_level,country_code,country_name,category,characteristic,characteristic_type,number,percent
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Total,Total,399460,100
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Gender,Female,173480,43.4
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Gender,Male,218230,54.6
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Gender,Unknown or Indeterminate gender,990,0.2
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Unborn,Unborn,6780,1.7
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,Under 1 year,16120,4
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,1 to 4 years,56130,14.1
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,5 to 9 years,85030,21.3
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,10 to 15 years,128590,32.2
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,16 years and over,106780,26.7
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Known ethnicity,387570,100
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Total White,265560,68.5
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White British,243190,62.7
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White Irish,960,0.2
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Gypsy or Irish Traveller,2840,0.7
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Any other White background,18570,4.8
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Total mixed,36660,9.5
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White and Black Caribbean,11770,3
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White and Black African,4560,1.2
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White and Asian,6340,1.6
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Any other mixed background,14000,3.6
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Total Asian or Asian British,32090,8.3
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Indian,4130,1.1
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Pakistani,10020,2.6
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Bangladeshi,4740,1.2
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Chinese,720,0.2
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Any other Asian background,12480,3.2
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Total Black or Black British,36050,9.3
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Black African,21630,5.6
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Black Caribbean,6930,1.8
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Any other Black background,7490,1.9
2024,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Any other ethnic group,17220,4.4
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Total,Total,403090,100
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Gender,Female,176030,43.7
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Gender,Male,218950,54.3
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Gender,Unknown or Indeterminate gender,1080,0.3
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Unborn,Unborn,7020,1.7
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,Under 1 year,16810,4.2
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,1 to 4 years,58700,14.6
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,5 to 9 years,85880,21.3
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,10 to 15 years,131150,32.5
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Age,16 years and over,103440,25.7
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Known ethnicity,389690,100
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Total White,270580,69.4
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White British,248100,63.7
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White Irish,960,0.2
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Gypsy or Irish Traveller,2820,0.7
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Any other White background,18700,4.8
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Total mixed,36090,9.3
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White and Black Caribbean,11690,3
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White and Black African,4440,1.1
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,White and Asian,6400,1.6
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Any other mixed background,13560,3.5
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Total Asian or Asian British,31320,8
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Indian,3980,1
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Pakistani,10150,2.6
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Bangladeshi,4670,1.2
2023,Reporting year,National,E92000001,England,Children in Need at 31 March,Ethnicity,Chinese,650,0.2
