time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,At31_episodes,At31_episodes_disability_recorded,At31_episodes_disability_recorded_percent,Autism_percent,Behaviour_percent,Communication_percent,Consciousness_percent,Hand_Function_percent,Hearing_percent,Incontinence_percent,Learning_Difficulties_percent,Mobility_percent,Personal_care_percent,Vision_percent,Other_percent
2024,Reporting year,National,E92000001,England,,,,,,Recorded disability,399460,54510,13.6,44.2,19.4,16.1,3.5,1.7,3.7,4,34.4,12.7,5.1,5.7,19.3
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Recorded disability,25010,3270,13.1,42.8,11.8,14.9,3.5,1.1,3.6,4.9,38.5,13.9,5.1,6.6,16.2
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Recorded disability,60690,6840,11.3,38.3,22.2,13.1,2.9,0.6,3.3,3.9,34,13.1,4,6.1,14
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Recorded disability,39710,4340,10.9,37.6,21.6,18.7,2.9,2.3,4.7,6.7,39.7,17.1,8.2,6.2,14.3
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Recorded disability,28330,3370,11.9,39.8,23.7,5.7,5.2,0.7,2.1,1.5,24.8,10.8,1.6,4.6,33.8
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Recorded disability,46560,5540,11.9,39.3,19.9,16.9,3.2,1.4,4.5,5,42.1,12.1,6.2,6.7,25.6
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Recorded disability,32460,5150,15.9,47.4,17.2,13.5,3.6,1,3.9,3.7,29.6,11.3,4.6,4.6,23.8
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Recorded disability,70330,11280,16,53,13.8,15.5,3.4,2.4,3.7,2,29.8,10.9,4.1,5,19.1
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Recorded disability,62960,10660,16.9,43.7,22.6,19.8,3.3,2.3,3.4,4.1,36.9,13.8,4.8,5.9,14.5
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Recorded disability,33420,4060,12.2,45.8,24.6,21.4,4.5,2.6,4.1,6.9,35.8,13.3,9.1,5.7,22.7
