time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,At31_episodes,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2years+,2years+_percent
2024,Reporting year,National,E92000001,England,,,,,,Duration of open episode,399460,104090,26.1,41940,10.5,53810,13.5,57910,14.5,141720,35.5
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Duration of open episode,25010,6180,24.7,2670,10.7,3520,14.1,3990,16,8650,34.6
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Duration of open episode,60690,14530,23.9,5980,9.8,7520,12.4,8390,13.8,24270,40
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration of open episode,39710,10780,27.1,4600,11.6,5720,14.4,5760,14.5,12860,32.4
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Duration of open episode,28330,7690,27.1,3280,11.6,4190,14.8,4070,14.4,9100,32.1
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Duration of open episode,46560,10940,23.5,4570,9.8,5910,12.7,6590,14.1,18560,39.9
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Duration of open episode,32460,7900,24.3,3170,9.8,4390,13.5,4920,15.2,12080,37.2
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Duration of open episode,70330,18970,27,7570,10.8,9450,13.4,9740,13.9,24610,35
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Duration of open episode,62960,18170,28.9,6410,10.2,8300,13.2,9220,14.6,20850,33.1
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Duration of open episode,33420,8940,26.7,3700,11.1,4820,14.4,5220,15.6,10740,32.2
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Duration of open episode,27800,7040,25.3,2900,10.4,3830,13.8,3700,13.3,10330,37.2
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Duration of open episode,42530,11930,28,4670,11,5620,13.2,6040,14.2,14280,33.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Duration of open episode,4109,993,24.2,486,11.8,634,15.4,540,13.1,1456,35.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Duration of open episode,1110,207,18.6,111,10,172,15.5,185,16.7,435,39.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Duration of open episode,1592,298,18.7,165,10.4,234,14.7,321,20.2,574,36.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Duration of open episode,1487,417,28,188,12.6,209,14.1,253,17,420,28.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Duration of open episode,1951,494,25.3,197,10.1,233,11.9,341,17.5,686,35.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Duration of open episode,2836,504,17.8,248,8.7,283,10,708,25,1093,38.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Duration of open episode,1712,490,28.6,118,6.9,227,13.3,218,12.7,659,38.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Duration of open episode,2320,626,27,272,11.7,385,16.6,328,14.1,709,30.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Duration of open episode,1633,354,21.7,183,11.2,251,15.4,274,16.8,571,35
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Duration of open episode,1539,363,23.6,152,9.9,242,15.7,222,14.4,560,36.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Duration of open episode,2395,754,31.5,288,12,266,11.1,303,12.7,784,32.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Duration of open episode,2324,680,29.3,265,11.4,379,16.3,299,12.9,701,30.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Duration of open episode,1523,396,26,262,17.2,218,14.3,151,9.9,496,32.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Duration of open episode,1773,278,15.7,137,7.7,213,12,312,17.6,833,47
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Duration of open episode,1914,478,25,158,8.3,282,14.7,348,18.2,648,33.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Duration of open episode,1482,412,27.8,155,10.5,218,14.7,189,12.8,508,34.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Duration of open episode,2128,481,22.6,165,7.8,293,13.8,298,14,891,41.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Duration of open episode,2506,743,29.6,245,9.8,405,16.2,336,13.4,777,31
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Duration of open episode,1771,436,24.6,184,10.4,292,16.5,233,13.2,626,35.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Duration of open episode,1118,312,27.9,79,7.1,155,13.9,223,19.9,349,31.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Duration of open episode,1286,214,16.6,102,7.9,200,15.6,203,15.8,567,44.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Duration of open episode,7790,1135,14.6,463,5.9,616,7.9,958,12.3,4618,59.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Duration of open episode,5120,1448,28.3,686,13.4,474,9.3,397,7.8,2115,41.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Duration of open episode,5600,1192,21.3,516,9.2,599,10.7,726,13,2567,45.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Duration of open episode,2828,839,29.7,412,14.6,409,14.5,428,15.1,740,26.2
