time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Ended_episodes,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2years+,2years+_percent
2024,Reporting year,National,E92000001,England,,,,,,Duration of ended episode,356690,169290,47.5,52720,14.8,56160,15.7,43620,12.2,34910,9.8
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Duration of ended episode,19510,7910,40.5,3170,16.2,3420,17.5,2930,15,2090,10.7
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Duration of ended episode,50280,22630,45,9390,18.7,7230,14.4,5920,11.8,5110,10.2
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration of ended episode,37350,15750,42.2,6750,18.1,6570,17.6,4570,12.2,3710,9.9
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Duration of ended episode,27160,11580,42.6,4310,15.9,5150,19,3550,13.1,2570,9.5
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Duration of ended episode,35800,15140,42.3,4730,13.2,6540,18.3,5120,14.3,4270,11.9
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Duration of ended episode,23890,10140,42.4,3680,15.4,4170,17.4,3150,13.2,2760,11.5
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Duration of ended episode,59280,28650,48.3,8210,13.9,9330,15.7,7260,12.2,5840,9.8
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Duration of ended episode,74240,44610,60.1,8150,11,8680,11.7,7250,9.8,5550,7.5
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Duration of ended episode,29190,12900,44.2,4320,14.8,5080,17.4,3870,13.3,3020,10.3
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Duration of ended episode,21450,9230,43,3180,14.8,3570,16.7,2810,13.1,2650,12.4
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Duration of ended episode,37830,19420,51.3,5030,13.3,5760,15.2,4450,11.8,3180,8.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Duration of ended episode,3230,1048,32.4,838,25.9,619,19.2,489,15.1,236,7.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Duration of ended episode,956,394,41.2,187,19.6,177,18.5,113,11.8,85,8.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Duration of ended episode,1160,454,39.1,183,15.8,180,15.5,175,15.1,168,14.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Duration of ended episode,1784,1005,56.3,203,11.4,236,13.2,188,10.5,152,8.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Duration of ended episode,1876,738,39.3,305,16.3,351,18.7,309,16.5,173,9.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Duration of ended episode,2276,1399,61.5,227,10,176,7.7,250,11,224,9.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Duration of ended episode,1056,376,35.6,194,18.4,140,13.3,179,17,167,15.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Duration of ended episode,1791,476,26.6,279,15.6,410,22.9,380,21.2,246,13.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Duration of ended episode,1034,252,24.4,140,13.5,266,25.7,237,22.9,139,13.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Duration of ended episode,1002,416,41.5,119,11.9,215,21.5,134,13.4,118,11.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Duration of ended episode,1729,643,37.2,284,16.4,346,20,262,15.2,194,11.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Duration of ended episode,1611,704,43.7,207,12.8,302,18.7,215,13.3,183,11.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Duration of ended episode,1296,494,38.1,295,22.8,170,13.1,157,12.1,180,13.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Duration of ended episode,1580,673,42.6,252,15.9,214,13.5,232,14.7,209,13.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Duration of ended episode,3500,2031,58,682,19.5,388,11.1,240,6.9,159,4.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Duration of ended episode,1634,847,51.8,291,17.8,213,13,181,11.1,102,6.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Duration of ended episode,1574,523,33.2,290,18.4,358,22.7,222,14.1,181,11.5
