time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Ended_episodes,unknown,unknown_percent,RC1_Adopted,RC1_Adopted_percent,RC2_Died,RC2_Died_percent,RC3_Residence_Order,RC3_Residence_Order_percent,RC4_Special_Guardianship_Order,RC4_Special_Guardianship_Order_percent,RC5_Transfer_to_another_LA,RC5_Transfer_to_another_LA_percent,RC6_Transfer_to_Adult_Social_Service,RC6_Transfer_to_Adult_Social_Service_percent,RC7_Other,RC7_Other_percent
2024,Reporting year,National,E92000001,England,,,,,,Reason for episode closure,356690,3820,1.1,2490,0.7,980,0.3,670,0.2,2680,0.8,13510,3.8,2550,0.7,330000,92.5
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for episode closure,19510,110,0.6,280,1.4,80,0.4,70,0.4,300,1.6,520,2.7,210,1.1,17930,91.9
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Reason for episode closure,50280,200,0.4,360,0.7,180,0.4,90,0.2,410,0.8,1270,2.5,340,0.7,47420,94.3
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason for episode closure,37350,390,1,360,1,110,0.3,130,0.4,520,1.4,910,2.4,160,0.4,34770,93.1
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Reason for episode closure,27160,100,0.4,110,0.4,50,0.2,30,0.1,170,0.6,420,1.5,110,0.4,26180,96.4
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Reason for episode closure,35800,790,2.2,400,1.1,110,0.3,110,0.3,200,0.6,1570,4.4,250,0.7,32370,90.4
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Reason for episode closure,23890,210,0.9,250,1,80,0.3,30,0.1,160,0.6,950,4,260,1.1,21950,91.9
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Reason for episode closure,59280,420,0.7,170,0.3,110,0.2,70,0.1,390,0.7,3460,5.8,460,0.8,54220,91.5
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Reason for episode closure,74240,1110,1.5,310,0.4,170,0.2,70,0.1,260,0.4,3710,5,510,0.7,68090,91.7
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Reason for episode closure,29190,480,1.7,260,0.9,90,0.3,70,0.2,260,0.9,680,2.3,270,0.9,27080,92.8
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Reason for episode closure,21450,110,0.5,70,0.3,40,0.2,20,0.1,210,1,1220,5.7,170,0.8,19620,91.5
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Reason for episode closure,37830,310,0.8,100,0.3,70,0.2,50,0.1,170,0.5,2240,5.9,280,0.8,34600,91.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Reason for episode closure,3230,0,0,49,1.5,17,0.5,21,0.7,58,1.8,64,2,35,1.1,2986,92.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Reason for episode closure,956,11,1.2,15,1.6,c,c,c,c,16,1.7,58,6.1,10,1,843,88.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Reason for episode closure,1160,0,0,27,2.3,c,c,c,c,28,2.4,26,2.2,24,2.1,1045,90.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Reason for episode closure,1784,29,1.6,c,c,c,c,8,0.4,37,2.1,43,2.4,0,0,1658,92.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Reason for episode closure,1876,0,0,21,1.1,c,c,c,c,25,1.3,90,4.8,18,1,1715,91.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Reason for episode closure,2276,c,c,25,1.1,c,c,0,0,0,0,41,1.8,25,1.1,2173,95.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Reason for episode closure,1056,9,0.9,11,1,c,c,c,c,18,1.7,26,2.5,18,1.7,964,91.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Reason for episode closure,1791,19,1.1,25,1.4,20,1.1,6,0.3,10,0.6,15,0.8,23,1.3,1673,93.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Reason for episode closure,1034,8,0.8,14,1.4,c,c,c,c,30,2.9,34,3.3,13,1.3,929,89.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Reason for episode closure,1002,0,0,38,3.8,c,c,c,c,20,2,24,2.4,c,c,908,90.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Reason for episode closure,1729,20,1.2,12,0.7,c,c,c,c,23,1.3,58,3.4,18,1,1588,91.8
