time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,CINPlan_start,CINPlan_start_rate,CINPlan_child_start,CINPlan_child_start_rate,CINPlan_end,CINPlan_end_rate,CINPlan_child_end,CINPlan_child_end_rate,CINPlan_anypoint,CINPlan_anypoint_rate,CINPlan_child_anypoint,CINPlan_child_anypoint_rate,CINPlan_At31,CINPlan_At31_rate
2024,Reporting year,National,E92000001,England,,,,,,CIN Plans,185660,154.7,178420,148.7,184430,153.7,177470,147.9,287860,239.9,273750,228.1,103440,86.2
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CIN Plans,11570,216.2,11190,209.1,11170,208.7,10850,202.8,17990,336.2,17080,319.2,6820,127.5
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CIN Plans,32370,202.4,31010,193.9,32550,203.5,31260,195.5,47180,295,44430,277.8,14630,91.5
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CIN Plans,22110,189.8,21260,182.5,21760,186.8,20920,179.6,32270,277,30450,261.4,10510,90.2
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CIN Plans,17130,168.6,16610,163.4,17000,167.3,16640,163.7,25690,252.7,24780,243.8,8680,85.5
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CIN Plans,16490,124.4,16180,122.1,16730,126.3,16450,124.1,27010,203.8,26140,197.3,10280,77.6
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CIN Plans,13340,97.6,13040,95.4,12840,93.9,12540,91.7,21220,155.2,20440,149.5,8380,61.3
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,CIN Plans,26280,138.3,25800,135.8,24310,128,23890,125.8,43410,228.5,42200,222.1,19090,100.5
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,CIN Plans,31800,159.9,29070,146.2,33210,166.9,30360,152.7,49780,250.3,45740,230,16570,83.3
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,CIN Plans,14570,132.2,14260,129.4,14850,134.8,14560,132.2,23320,211.7,22490,204.1,8470,76.9
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,CIN Plans,10660,166.3,10480,163.5,9070,141.5,8930,139.3,17040,265.8,16610,259.1,7960,124.2
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,CIN Plans,15620,124.1,15330,121.7,15240,121.1,14960,118.9,26370,209.5,25590,203.3,11130,88.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,CIN Plans,2512,252.1,2393,240.2,2446,245.5,2324,233.3,3528,354.1,3303,331.5,1082,108.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,CIN Plans,509,227.1,495,220.9,444,198.1,432,192.8,772,344.5,741,330.6,328,146.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,CIN Plans,860,216.2,827,207.9,552,138.7,533,134,863,216.9,830,208.6,311,78.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,CIN Plans,757,370.8,736,360.5,754,369.3,741,362.9,1252,613.2,1171,573.5,498,243.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,CIN Plans,938,269.6,904,259.8,1014,291.5,991,284.8,1486,427.1,1413,406.1,472,135.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,CIN Plans,1006,167.4,953,158.6,1059,176.2,1018,169.4,1752,291.6,1590,264.6,693,115.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,CIN Plans,558,132.7,549,130.6,567,134.9,561,133.5,1070,254.5,1033,245.7,503,119.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,CIN Plans,1244,211.5,1219,207.3,1210,205.7,1186,201.7,2091,355.5,2025,344.3,881,149.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,CIN Plans,703,256.2,691,251.8,738,268.9,733,267.1,1221,445,1191,434,483,176
