time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Assessments_completed,Assessments_completed_rate,Same_day,1-10_days,11-20_days,21-30_days,31-40_days,41-45_days,46-50_days,51-60_days,61+_days,25th_Percentile_days,Median_days,75th_Percentile_days
2024,Reporting year,National,E92000001,England,,,,,,Duration of assessment,643170,536,9880,73420,110950,102600,129690,116670,38560,29490,31900,19,34,44
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Duration of assessment,36070,673.9,250,2940,5760,4080,6070,10290,2650,2090,1920,21,40,45
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Duration of assessment,94200,589,1140,9410,15250,14980,18430,18400,6230,4710,5650,19,34,44
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration of assessment,69570,597.2,900,7380,11770,10990,12960,12210,4860,3800,4700,18,34,44
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Duration of assessment,52960,521.1,1310,8530,12610,10630,8280,6900,2120,1470,1120,13,24,38
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Duration of assessment,70960,535.5,1750,10120,11540,10290,12660,12790,4640,3390,3800,16,32,44
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Duration of assessment,45580,333.4,970,3890,6020,7180,13900,7850,2390,1810,1560,21,34,42
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Duration of assessment,103100,542.7,1000,6740,12990,19240,26830,22010,5690,4270,4330,23,35,43
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Duration of assessment,119590,601.3,1640,18840,27060,16860,20220,18700,6550,4750,4980,19,34,44
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Duration of assessment,51140,464.1,940,5560,7950,8350,10340,7530,3420,3210,3840,18,34,44
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Duration of assessment,36430,568.2,430,2250,3790,5860,9890,9120,2330,1480,1280,26,37,44
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Duration of assessment,66670,529.7,570,4500,9200,13390,16940,12890,3360,2790,3050,23,34,43
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Duration of assessment,5332,535.2,45,464,751,505,796,1815,344,304,308,22,41,45
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Duration of assessment,1692,755,31,71,103,73,208,555,86,137,428,39,44,61
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Duration of assessment,2016,506.7,18,133,320,306,297,591,199,102,50,22,39,45
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Duration of assessment,2323,1137.8,c,216,224,353,532,625,117,c,152,24,39,44
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Duration of assessment,3886,1117,45,225,344,382,649,1445,299,258,239,30,43,45
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Duration of assessment,3685,613.3,13,652,1206,428,406,359,319,201,101,12,20,42
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Duration of assessment,2069,492.2,20,133,297,141,494,592,136,121,135,27,40,44
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Duration of assessment,2951,501.8,10,208,575,598,387,640,282,150,101,19,33,44
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Duration of assessment,2157,786.1,10,146,348,264,298,806,112,90,83,22,41,45
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Duration of assessment,1832,608.7,33,69,290,260,449,600,55,45,31,24,37,44
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Duration of assessment,4144,940,11,351,523,383,621,1381,377,324,173,25,42,45
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Duration of assessment,3980,715.4,13,276,780,389,936,881,325,257,123,18,38,44
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Duration of assessment,2862,708.6,26,158,433,439,710,481,340,215,60,22,36,44
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Duration of assessment,2672,932.2,97,289,406,470,485,451,126,73,275,18,32,44
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Duration of assessment,4260,577,82,488,1327,505,372,803,256,238,189,15,24,44
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Duration of assessment,2590,589.1,32,261,250,357,670,232,179,231,378,23,36,49
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Duration of assessment,3123,382.6,23,348,406,362,576,839,253,172,144,21,39,44
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Duration of assessment,3770,531.9,18,233,392,482,785,1146,357,180,177,28,40,45
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Duration of assessment,2771,535.2,11,191,467,559,531,411,161,173,267,22,34,45
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Duration of assessment,2360,857.2,49,360,358,374,450,354,149,136,130,15,31,43
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Duration of assessment,1745,495,17,192,334,266,419,165,77,91,184,15,32,43
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Duration of assessment,7100,277.2,138,1004,1669,1669,1166,1197,92,74,91,14,26,37
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Duration of assessment,6966,726,26,655,1018,1101,1652,721,591,523,679,21,36,46
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Duration of assessment,8442,650.5,154,1032,1175,934,1451,2089,584,513,510,18,38,44
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Duration of assessment,5996,951.8,103,694,1103,748,1163,1448,352,157,228,17,34,44
