time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Section47,Section47_rate,Section47_child,Section47_child_rate,ICPC,ICPC_rate,ICPC_child,ICPC_child_rate,Duration_0-10_days,Duration_11-15_days,Duration_16-20_days,Duration_21+_days,Duration_25th_Percentile,Duration_median,Duration_75th_Percentile
2024,Reporting year,National,E92000001,England,,,,,,Section 47s and Initial Child Protection Conferences,224520,187.1,191360,159.5,72250,60.2,71140,59.3,6800,50780,6300,8350,13,14,15
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Section 47s and Initial Child Protection Conferences,13450,251.2,11700,218.5,5420,101.2,5310,99.3,210,4290,480,440,13,14,15
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Section 47s and Initial Child Protection Conferences,32550,203.5,26920,168.3,10620,66.4,10480,65.5,1230,7430,920,1040,12,14,15
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Section 47s and Initial Child Protection Conferences,23770,204,20370,174.8,8460,72.6,8370,71.8,490,5870,870,1240,13,14,15
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Section 47s and Initial Child Protection Conferences,17450,171.7,14590,143.5,5860,57.7,5770,56.7,590,3520,570,1180,12,14,18
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Section 47s and Initial Child Protection Conferences,25680,193.8,21700,163.8,8220,62,8120,61.2,810,6120,540,760,12,14,15
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Section 47s and Initial Child Protection Conferences,14330,104.8,12200,89.2,5120,37.5,5080,37.1,780,3640,340,360,12,14,15
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Section 47s and Initial Child Protection Conferences,37100,195.3,32620,171.7,11190,58.9,11030,58.1,1370,7240,1000,1570,12,14,15
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Section 47s and Initial Child Protection Conferences,40470,203.5,34750,174.7,10730,53.9,10510,52.9,910,7600,1040,1180,13,14,15
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Section 47s and Initial Child Protection Conferences,19730,179.1,16530,150,6620,60.1,6490,58.9,420,5080,550,580,13,14,15
