time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Referrals,Individual,Schools,Education_Services,Health_Services,Housing,LA_Services,Police,Other_legal_agency,Other,Anonymous,Unknown
2024,Reporting year,National,E92000001,England,,,,,,Source of referral,621880,49870,126460,10330,91370,7710,87980,177210,27590,26120,10030,7190
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Source of referral,32050,2520,5490,450,4680,370,5280,9920,1390,1070,780,130
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Source of referral,81950,5930,13630,1560,11220,1090,12370,26900,4060,3600,1410,180
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Source of referral,62800,5020,10760,1870,8610,970,9240,18870,3140,2340,1430,560
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Source of referral,56190,5150,11260,820,7560,590,8720,15270,2700,2710,940,480
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Source of referral,64200,6700,12100,1360,8940,670,8260,17940,2490,2410,1060,2270
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Source of referral,45330,3610,9330,700,6640,710,7810,11090,2270,1870,810,500
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Source of referral,105700,6160,23850,1360,18290,1240,14030,31770,3110,4750,630,520
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Source of referral,121230,9310,28990,1630,18280,1370,14790,31490,6580,5460,1760,1560
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Source of referral,52440,5490,11050,590,7150,690,7500,13970,1870,1920,1210,990
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Source of referral,38730,2230,7450,740,7650,460,4820,11980,900,1970,170,380
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Source of referral,66970,3930,16400,620,10650,780,9210,19790,2210,2780,460,140
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Source of referral,4668,327,559,8,729,37,785,1896,241,31,55,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Source of referral,1539,84,245,164,113,18,274,490,74,41,36,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Source of referral,1630,167,261,11,282,10,255,435,113,49,47,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Source of referral,2190,142,393,c,288,c,563,576,78,52,60,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Source of referral,2797,148,522,35,430,c,421,917,152,106,38,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Source of referral,2992,234,596,53,457,69,262,927,94,117,93,90
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Source of referral,2305,201,368,73,377,19,461,528,55,120,85,18
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Source of referral,3001,273,544,11,546,34,419,803,30,209,132,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Source of referral,1556,110,234,0,232,14,338,462,89,52,25,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Source of referral,2041,193,382,21,252,22,345,658,44,77,33,14
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Source of referral,4031,272,692,18,478,54,831,1178,265,130,113,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Source of referral,3299,364,689,51,494,36,322,1050,150,82,61,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Source of referral,2392,173,359,29,254,9,380,876,108,159,45,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Source of referral,2174,176,289,c,260,26,376,804,114,80,30,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Source of referral,3787,296,788,36,350,62,299,1353,169,311,123,0
