time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,CPP_At31,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2_years_or_more,2_years_or_more_percent
2024,Reporting year,National,E92000001,England,,,,,,Child Protection Plans by length of time,49900,14810,29.7,12320,24.7,13510,27.1,7980,16,1270,2.6
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Child Protection Plans by length of time,3540,1210,34.1,950,26.9,910,25.8,420,12,40,1.2
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Child Protection Plans by length of time,7800,2090,26.8,1970,25.3,2260,29,1290,16.5,190,2.4
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Child Protection Plans by length of time,5670,1740,30.7,1420,25.1,1490,26.4,880,15.5,140,2.4
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Child Protection Plans by length of time,3870,1170,30.2,930,24.1,1070,27.5,630,16.2,70,1.9
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Child Protection Plans by length of time,5920,1820,30.7,1450,24.5,1620,27.3,900,15.2,140,2.4
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Child Protection Plans by length of time,3400,1000,29.3,820,24.1,950,27.9,550,16.2,90,2.5
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Child Protection Plans by length of time,7690,2270,29.5,1880,24.4,2040,26.5,1250,16.3,260,3.3
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Child Protection Plans by length of time,7510,2180,29,1780,23.7,1950,25.9,1350,18,250,3.3
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Child Protection Plans by length of time,4510,1350,30,1120,24.8,1230,27.3,710,15.7,100,2.3
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Child Protection Plans by length of time,2590,760,29.3,650,25,720,27.7,370,14.5,90,3.5
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Child Protection Plans by length of time,5110,1510,29.6,1230,24.1,1320,25.9,880,17.2,170,3.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Child Protection Plans by length of time,494,184,37.2,136,27.5,131,26.5,32,6.5,11,2.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Child Protection Plans by length of time,145,43,29.7,51,35.2,34,23.4,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Child Protection Plans by length of time,239,86,36,79,33.1,51,21.3,23,9.6,0,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Child Protection Plans by length of time,158,55,34.8,48,30.4,36,22.8,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Child Protection Plans by length of time,320,92,28.8,48,15,98,30.6,72,22.5,10,3.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Child Protection Plans by length of time,395,92,23.3,133,33.7,101,25.6,60,15.2,9,2.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Child Protection Plans by length of time,177,62,35,45,25.4,48,27.1,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Child Protection Plans by length of time,384,135,35.2,104,27.1,84,21.9,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Child Protection Plans by length of time,227,79,34.8,57,25.1,73,32.2,18,7.9,0,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Child Protection Plans by length of time,236,85,36,57,24.2,63,26.7,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Child Protection Plans by length of time,241,77,32,68,28.2,67,27.8,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Child Protection Plans by length of time,519,216,41.6,126,24.3,126,24.3,51,9.8,0,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Child Protection Plans by length of time,223,63,28.3,98,43.9,47,21.1,15,6.7,0,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Child Protection Plans by length of time,273,59,21.6,41,15,93,34.1,73,26.7,7,2.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Child Protection Plans by length of time,332,89,26.8,81,24.4,112,33.7,40,12,10,3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Child Protection Plans by length of time,223,74,33.2,41,18.4,71,31.8,30,13.5,7,3.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Child Protection Plans by length of time,276,72,26.1,55,19.9,104,37.7,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Child Protection Plans by length of time,313,58,18.5,55,17.6,122,39,69,22,9,2.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Child Protection Plans by length of time,269,66,24.5,103,38.3,64,23.8,36,13.4,0,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Child Protection Plans by length of time,150,c,c,47,31.3,39,26,42,28,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Child Protection Plans by length of time,198,44,22.2,44,22.2,74,37.4,28,14.1,8,4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Child Protection Plans by length of time,660,181,27.4,157,23.8,174,26.4,142,21.5,6,0.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Child Protection Plans by length of time,607,249,41,193,31.8,116,19.1,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Child Protection Plans by length of time,571,183,32,128,22.4,182,31.9,70,12.3,8,1.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Child Protection Plans by length of time,510,130,25.5,125,24.5,113,22.2,104,20.4,38,7.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Child Protection Plans by length of time,350,35,10,85,24.3,124,35.4,99,28.3,7,2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Child Protection Plans by length of time,434,89,20.5,112,25.8,140,32.3,80,18.4,13,3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Child Protection Plans by length of time,278,84,30.2,81,29.1,66,23.7,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Child Protection Plans by length of time,178,48,27,54,30.3,41,23,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Child Protection Plans by length of time,265,65,24.5,57,21.5,96,36.2,34,12.8,13,4.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Child Protection Plans by length of time,392,121,30.9,119,30.4,86,21.9,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Child Protection Plans by length of time,217,59,27.2,56,25.8,66,30.4,21,9.7,15,6.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Child Protection Plans by length of time,190,60,31.6,49,25.8,48,25.3,25,13.2,8,4.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Child Protection Plans by length of time,221,91,41.2,53,24,61,27.6,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Child Protection Plans by length of time,305,c,c,67,22,119,39,61,20,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Child Protection Plans by length of time,368,97,26.4,70,19,104,28.3,82,22.3,15,4.1
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Child Protection Plans by length of time,366,142,38.8,87,23.8,83,22.7,46,12.6,8,2.2
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Child Protection Plans by length of time,719,170,23.6,139,19.3,272,37.8,121,16.8,17,2.4
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Child Protection Plans by length of time,215,69,32.1,52,24.2,47,21.9,38,17.7,9,4.2
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Child Protection Plans by length of time,296,89,30.1,85,28.7,64,21.6,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Child Protection Plans by length of time,251,117,46.6,49,19.5,56,22.3,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Child Protection Plans by length of time,460,141,30.7,149,32.4,120,26.1,35,7.6,15,3.3
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Child Protection Plans by length of time,423,130,30.7,143,33.8,109,25.8,41,9.7,0,0
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Child Protection Plans by length of time,674,220,32.6,153,22.7,156,23.1,124,18.4,21,3.1
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Child Protection Plans by length of time,237,41,17.3,48,20.3,80,33.8,57,24.1,11,4.6
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Child Protection Plans by length of time,98,33,33.7,30,30.6,19,19.4,16,16.3,0,0
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Child Protection Plans by length of time,420,180,42.9,90,21.4,91,21.7,53,12.6,6,1.4
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Child Protection Plans by length of time,265,65,24.5,61,23,88,33.2,39,14.7,12,4.5
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Child Protection Plans by length of time,675,144,21.3,201,29.8,157,23.3,146,21.6,27,4
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Child Protection Plans by length of time,427,150,35.1,111,26,113,26.5,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Child Protection Plans by length of time,139,48,34.5,22,15.8,38,27.3,31,22.3,0,0
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Child Protection Plans by length of time,228,75,32.9,56,24.6,41,18,48,21.1,8,3.5
2024,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Child Protection Plans by length of time,804,186,23.1,222,27.6,229,28.5,156,19.4,11,1.4
