time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,CPP_At31_3Months,Reviewed_within_timescales,Reviewed_within_timescales_percent
2024,Reporting year,National,E92000001,England,,,,,,Child Protection Plans reviewed within timescales,35090,31500,89.8
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Child Protection Plans reviewed within timescales,2330,2170,93
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Child Protection Plans reviewed within timescales,5710,5030,88
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Child Protection Plans reviewed within timescales,3930,3490,88.8
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Child Protection Plans reviewed within timescales,2700,2310,85.7
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Child Protection Plans reviewed within timescales,4110,3550,86.6
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Child Protection Plans reviewed within timescales,2400,2260,94.3
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Child Protection Plans reviewed within timescales,5420,5060,93.3
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Child Protection Plans reviewed within timescales,5330,4770,89.5
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Child Protection Plans reviewed within timescales,3160,2850,90.3
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Child Protection Plans reviewed within timescales,1830,1650,90.5
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Child Protection Plans reviewed within timescales,3600,3410,94.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Child Protection Plans reviewed within timescales,310,303,97.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Child Protection Plans reviewed within timescales,102,102,100
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Child Protection Plans reviewed within timescales,153,145,94.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Child Protection Plans reviewed within timescales,103,100,97.1
