time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,CPP_End,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2_years_or_more,2_years_or_more_percent
2024,Reporting year,National,E92000001,England,,,,,,Child Protection Plans ending by length of time,62870,10240,16.3,7350,11.7,27240,43.3,15640,24.9,2400,3.8
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Child Protection Plans ending by length of time,4700,900,19.2,590,12.6,2100,44.6,1010,21.5,100,2.1
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Child Protection Plans ending by length of time,9100,1320,14.5,1050,11.5,3880,42.7,2460,27,390,4.3
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Child Protection Plans ending by length of time,7570,1290,17.1,920,12.2,3320,43.9,1760,23.3,260,3.5
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Child Protection Plans ending by length of time,5250,720,13.7,670,12.8,2370,45.2,1280,24.4,210,3.9
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Child Protection Plans ending by length of time,7340,1180,16,950,12.9,3280,44.7,1710,23.2,220,3
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Child Protection Plans ending by length of time,4560,800,17.4,540,11.7,1940,42.5,1130,24.7,170,3.7
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Child Protection Plans ending by length of time,9060,1530,16.9,930,10.3,3750,41.4,2400,26.5,440,4.9
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Child Protection Plans ending by length of time,9790,1520,15.5,1010,10.3,4300,44,2530,25.9,430,4.4
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Child Protection Plans ending by length of time,5520,990,17.8,700,12.7,2290,41.5,1370,24.8,180,3.2
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Child Protection Plans ending by length of time,3260,610,18.7,360,11.2,1340,40.9,810,24.8,150,4.5
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Child Protection Plans ending by length of time,5790,930,16,570,9.8,2410,41.7,1590,27.5,300,5.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Child Protection Plans ending by length of time,830,184,22.2,107,12.9,405,48.8,128,15.4,6,0.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Child Protection Plans ending by length of time,167,30,18,34,20.4,58,34.7,38,22.8,7,4.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Child Protection Plans ending by length of time,281,c,c,57,20.3,127,45.2,55,19.6,c,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Child Protection Plans ending by length of time,246,38,15.4,20,8.1,116,47.2,66,26.8,6,2.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Child Protection Plans ending by length of time,512,44,8.6,60,11.7,229,44.7,159,31.1,20,3.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Child Protection Plans ending by length of time,379,28,7.4,65,17.2,153,40.4,114,30.1,19,5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Child Protection Plans ending by length of time,302,82,27.2,28,9.3,120,39.7,61,20.2,11,3.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Child Protection Plans ending by length of time,539,96,17.8,52,9.6,238,44.2,147,27.3,6,1.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Child Protection Plans ending by length of time,352,72,20.5,61,17.3,170,48.3,41,11.6,8,2.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Child Protection Plans ending by length of time,269,74,27.5,c,c,116,43.1,51,19,c,c
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Child Protection Plans ending by length of time,347,77,22.2,32,9.2,140,40.3,86,24.8,12,3.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Child Protection Plans ending by length of time,473,138,29.2,47,9.9,224,47.4,64,13.5,0,0
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Child Protection Plans ending by length of time,248,74,29.8,57,23,65,26.2,c,c,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Child Protection Plans ending by length of time,354,45,12.7,49,13.8,116,32.8,120,33.9,24,6.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Child Protection Plans ending by length of time,541,63,11.6,88,16.3,272,50.3,100,18.5,18,3.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Child Protection Plans ending by length of time,253,40,15.8,21,8.3,104,41.1,74,29.2,14,5.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Child Protection Plans ending by length of time,266,65,24.4,c,c,109,41,60,22.6,c,c
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Child Protection Plans ending by length of time,357,51,14.3,24,6.7,127,35.6,129,36.1,26,7.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Child Protection Plans ending by length of time,420,80,19,50,11.9,184,43.8,92,21.9,14,3.3
