time_period,time_identifier,geographic_level,country_code,country_name,children_in_need,children_in_need_per_10000_children,child_protection_plans,child_protection_plans_per_10000_children,referrals,completed_assessments
2024,Reporting year,National,E92000001,England,399460,332.9,49900,41.6,621880,643170
2023,Reporting year,National,E92000001,England,403090,339.1,50780,42.7,640430,655540
2022,Reporting year,National,E92000001,England,404310,343.7,50920,43.3,650270,645070
2021,Reporting year,National,E92000001,England,388490,329.6,50010,42.4,597760,625960
2020,Reporting year,National,E92000001,England,389260,330.1,51510,43.7,642980,665660
2019,Reporting year,National,E92000001,England,399510,339.8,52260,44.5,650930,644730
2018,Reporting year,National,E92000001,England,404710,345.4,53790,45.9,655630,631090
2017,Reporting year,National,E92000001,England,389040,333.3,51080,43.8,646120,606910
2016,Reporting year,National,E92000001,England,393910,339.8,50310,43.4,621470,571640
2015,Reporting year,National,E92000001,England,390130,338.2,49690,43.1,635620,550810
2014,Reporting year,National,E92000001,England,395480,344.7,48300,42.1,657780,u
2013,Reporting year,National,E92000001,England,378030,331.5,43190,37.9,593470,x
